zzz ***Sun Mar 7 06:37:55 EST 2021
slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
skbuff_ext_cache   22125  23680    128   32    1 : tunables    0    0    0 : slabdata    740    740      0
skbuff_fclone_cache   1354   1504    512   32    4 : tunables    0    0    0 : slabdata     47     47      0
skbuff_head_cache   4197   4288    256   32    2 : tunables    0    0    0 : slabdata    134    134      0
file_lock_cache      740    740    216   37    2 : tunables    0    0    0 : slabdata     20     20      0
file_lock_ctx       1460   1460     56   73    1 : tunables    0    0    0 : slabdata     20     20      0
fsnotify_mark_connector  16000  16000     32  128    1 : tunables    0    0    0 : slabdata    125    125      0
net_namespace         30     30   4736    6    8 : tunables    0    0    0 : slabdata      5      5      0
task_delay_info    11118  11118     80   51    1 : tunables    0    0    0 : slabdata    218    218      0
taskstats            940    940    344   47    4 : tunables    0    0    0 : slabdata     20     20      0
proc_dir_entry      1890   1890    192   42    2 : tunables    0    0    0 : slabdata     45     45      0
pde_opener          2040   2040     40  102    1 : tunables    0    0    0 : slabdata     20     20      0
proc_inode_cache    7991   9120    672   24    4 : tunables    0    0    0 : slabdata    380    380      0
bdev_cache           429    429    832   39    8 : tunables    0    0    0 : slabdata     11     11      0
shmem_inode_cache   8334   8878    712   46    8 : tunables    0    0    0 : slabdata    193    193      0
kernfs_node_cache  63450  63450    136   30    1 : tunables    0    0    0 : slabdata   2115   2115      0
mnt_cache           1327   1350    320   25    2 : tunables    0    0    0 : slabdata     54     54      0
filp               11061  12928    256   32    2 : tunables    0    0    0 : slabdata    404    404      0
inode_cache        36778  38259    600   27    4 : tunables    0    0    0 : slabdata   1417   1417      0
dentry            375880 378924    192   42    2 : tunables    0    0    0 : slabdata   9022   9022      0
names_cache          176    176   4096    8    8 : tunables    0    0    0 : slabdata     22     22      0
iint_cache             0      0    120   34    1 : tunables    0    0    0 : slabdata      0      0      0
lsm_file_cache     18870  18870     24  170    1 : tunables    0    0    0 : slabdata    111    111      0
buffer_head         1841   1911    104   39    1 : tunables    0    0    0 : slabdata     49     49      0
uts_namespace          0      0    440   37    4 : tunables    0    0    0 : slabdata      0      0      0
vm_area_struct     32094  32448    208   39    2 : tunables    0    0    0 : slabdata    832    832      0
mm_struct            756    756   1152   28    8 : tunables    0    0    0 : slabdata     27     27      0
files_cache          966    966    704   46    8 : tunables    0    0    0 : slabdata     21     21      0
signal_cache        2280   2280   1088   30    8 : tunables    0    0    0 : slabdata     76     76      0
sighand_cache       1349   1365   2112   15    8 : tunables    0    0    0 : slabdata     91     91      0
task_struct          774    804   9600    3    8 : tunables    0    0    0 : slabdata    268    268      0
cred_jar            9240   9240    192   42    2 : tunables    0    0    0 : slabdata    220    220      0
anon_vma_chain     25499  26816     64   64    1 : tunables    0    0    0 : slabdata    419    419      0
anon_vma           15741  16836     88   46    1 : tunables    0    0    0 : slabdata    366    366      0
pid                 6880   6880    128   32    1 : tunables    0    0    0 : slabdata    215    215      0
Acpi-Operand       52472  52472     72   56    1 : tunables    0    0    0 : slabdata    937    937      0
Acpi-ParseExt       3635   3822    104   39    1 : tunables    0    0    0 : slabdata     98     98      0
Acpi-State        305745 305745     80   51    1 : tunables    0    0    0 : slabdata   5995   5995      0
Acpi-Namespace     10710  10710     40  102    1 : tunables    0    0    0 : slabdata    105    105      0
numa_policy           30     30    136   30    1 : tunables    0    0    0 : slabdata      1      1      0
trace_event_file    3588   3588     88   46    1 : tunables    0    0    0 : slabdata     78     78      0
ftrace_event_field   7055   7055     48   85    1 : tunables    0    0    0 : slabdata     83     83      0
pool_workqueue      1193   1216    256   32    2 : tunables    0    0    0 : slabdata     38     38      0
radix_tree_node   513145 513492    584   28    4 : tunables    0    0    0 : slabdata  18339  18339      0
task_group           500    500    640   25    4 : tunables    0    0    0 : slabdata     20     20      0
vmap_area           9660  11136     64   64    1 : tunables    0    0    0 : slabdata    174    174      0
dma-kmalloc-8k         0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-4k         0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-2k         0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-1k         0      0   1024   32    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-512       32     32    512   32    4 : tunables    0    0    0 : slabdata      1      1      0
dma-kmalloc-256        0      0    256   32    2 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-128        0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-64         0      0     64   64    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-32         0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-16         0      0     16  256    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-8          0      0      8  512    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-192        0      0    192   42    2 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-96         0      0     96   42    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-8k         0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-4k         0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-2k         0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-1k         0      0   1024   32    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-512      128    128    512   32    4 : tunables    0    0    0 : slabdata      4      4      0
kmalloc-rcl-256      640    640    256   32    2 : tunables    0    0    0 : slabdata     20     20      0
kmalloc-rcl-192     1638   1638    192   42    2 : tunables    0    0    0 : slabdata     39     39      0
kmalloc-rcl-128     3872   3872    128   32    1 : tunables    0    0    0 : slabdata    121    121      0
kmalloc-rcl-96     13650  13650     96   42    1 : tunables    0    0    0 : slabdata    325    325      0
kmalloc-rcl-64     24832  24832     64   64    1 : tunables    0    0    0 : slabdata    388    388      0
kmalloc-rcl-32         0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-16         0      0     16  256    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-8          0      0      8  512    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-8k           372    372   8192    4    8 : tunables    0    0    0 : slabdata     93     93      0
kmalloc-4k          1468   1480   4096    8    8 : tunables    0    0    0 : slabdata    185    185      0
kmalloc-2k          2068   2224   2048   16    8 : tunables    0    0    0 : slabdata    139    139      0
kmalloc-1k         21540  21760   1024   32    8 : tunables    0    0    0 : slabdata    680    680      0
kmalloc-512         8725  15456    512   32    4 : tunables    0    0    0 : slabdata    483    483      0
kmalloc-256         5312   5312    256   32    2 : tunables    0    0    0 : slabdata    166    166      0
kmalloc-192        10983  11550    192   42    2 : tunables    0    0    0 : slabdata    275    275      0
kmalloc-128        26143  27520    128   32    1 : tunables    0    0    0 : slabdata    860    860      0
kmalloc-96         16063  16254     96   42    1 : tunables    0    0    0 : slabdata    387    387      0
kmalloc-64         36324  48640     64   64    1 : tunables    0    0    0 : slabdata    760    760      0
kmalloc-32         31162  40576     32  128    1 : tunables    0    0    0 : slabdata    317    317      0
kmalloc-16         90880  90880     16  256    1 : tunables    0    0    0 : slabdata    355    355      0
kmalloc-8          62464  62464      8  512    1 : tunables    0    0    0 : slabdata    122    122      0
kmem_cache_node      768    768     64   64    1 : tunables    0    0    0 : slabdata     12     12      0
kmem_cache           504    504    448   36    4 : tunables    0    0    0 : slabdata     14     14      0
zzz ***Sun Mar 7 06:49:05 EST 2021
slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
fuse_inode           351    351    832   39    8 : tunables    0    0    0 : slabdata      9      9      0
isofs_inode_cache   3592   3825    648   25    4 : tunables    0    0    0 : slabdata    153    153      0
nfs4_layout_stateid      0      0    280   29    2 : tunables    0    0    0 : slabdata      0      0      0
nfsd4_stateids         0      0    168   24    1 : tunables    0    0    0 : slabdata      0      0      0
nfsd4_files            0      0    288   28    2 : tunables    0    0    0 : slabdata      0      0      0
nfsd4_lockowners     779    779    392   41    4 : tunables    0    0    0 : slabdata     19     19      0
nfsd4_openowners       0      0    432   37    4 : tunables    0    0    0 : slabdata      0      0      0
nfsd4_clients          0      0   1296   25    8 : tunables    0    0    0 : slabdata      0      0      0
nfs_direct_cache       0      0    360   45    4 : tunables    0    0    0 : slabdata      0      0      0
nfs_read_data       4464   4644    896   36    8 : tunables    0    0    0 : slabdata    129    129      0
nfs_inode_cache     5988   6210   1080   30    8 : tunables    0    0    0 : slabdata    207    207      0
rpc_inode_cache      275    275    640   25    4 : tunables    0    0    0 : slabdata     11     11      0
xfs_dqtrx              0      0    528   31    4 : tunables    0    0    0 : slabdata      0      0      0
xfs_dquot              0      0    496   33    4 : tunables    0    0    0 : slabdata      0      0      0
xfs_buf             6258   6258    384   42    4 : tunables    0    0    0 : slabdata    149    149      0
xfs_rui_item           0      0    696   47    8 : tunables    0    0    0 : slabdata      0      0      0
xfs_rud_item          92     92    176   46    2 : tunables    0    0    0 : slabdata      2      2      0
xfs_inode          58071  58080   1024   32    8 : tunables    0    0    0 : slabdata   1815   1815      0
xfs_efd_item        1147   1147    440   37    4 : tunables    0    0    0 : slabdata     31     31      0
xfs_buf_item        1140   1230    272   30    2 : tunables    0    0    0 : slabdata     41     41      0
xfs_trans            700    700    232   35    2 : tunables    0    0    0 : slabdata     20     20      0
xfs_da_state         578    578    480   34    4 : tunables    0    0    0 : slabdata     17     17      0
xfs_btree_cur        720    720    224   36    2 : tunables    0    0    0 : slabdata     20     20      0
kvm_vcpu               0      0  16256    2    8 : tunables    0    0    0 : slabdata      0      0      0
kvm_mmu_page_header      0      0    176   46    2 : tunables    0    0    0 : slabdata      0      0      0
x86_fpu                0      0   4160    7    8 : tunables    0    0    0 : slabdata      0      0      0
fat_inode_cache       88     88    736   44    8 : tunables    0    0    0 : slabdata      2      2      0
fat_cache              0      0     40  102    1 : tunables    0    0    0 : slabdata      0      0      0
btrfs_delayed_node 113759 114816    312   26    2 : tunables    0    0    0 : slabdata   4416   4416      0
btrfs_ordered_extent   5738   5738    424   38    4 : tunables    0    0    0 : slabdata    151    151      0
btrfs_extent_map  109630 111888    144   28    1 : tunables    0    0    0 : slabdata   3996   3996      0
btrfs_extent_buffer  43655  84320    264   31    2 : tunables    0    0    0 : slabdata   2720   2720      0
btrfs_free_space_bitmap     48     48  12288    2    8 : tunables    0    0    0 : slabdata     24     24      0
btrfs_path          2664   2736    112   36    1 : tunables    0    0    0 : slabdata     76     76      0
btrfs_inode       184329 184329   1184   27    8 : tunables    0    0    0 : slabdata   6827   6827      0
kcopyd_job             0      0   3312    9    8 : tunables    0    0    0 : slabdata      0      0      0
dm_uevent              0      0   2632   12    8 : tunables    0    0    0 : slabdata      0      0      0
ip6-frags           1320   1320    184   44    2 : tunables    0    0    0 : slabdata     30     30      0
PINGv6               312    312   1216   26    8 : tunables    0    0    0 : slabdata     12     12      0
RAWv6                390    390   1216   26    8 : tunables    0    0    0 : slabdata     15     15      0
UDPv6                480    480   1344   24    8 : tunables    0    0    0 : slabdata     20     20      0
tw_sock_TCPv6         34     34    240   34    2 : tunables    0    0    0 : slabdata      1      1      0
request_sock_TCPv6      0      0    304   26    2 : tunables    0    0    0 : slabdata      0      0      0
TCPv6                260    260   2368   13    8 : tunables    0    0    0 : slabdata     20     20      0
scsi_sense_cache     992    992    128   32    1 : tunables    0    0    0 : slabdata     31     31      0
bfq_io_cq            500    500    160   25    1 : tunables    0    0    0 : slabdata     20     20      0
mqueue_inode_cache     34     34    960   34    8 : tunables    0    0    0 : slabdata      1      1      0
jbd2_journal_head      0      0    120   34    1 : tunables    0    0    0 : slabdata      0      0      0
jbd2_revoke_table_s      0      0     16  256    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_inode_cache       0      0   1088   30    8 : tunables    0    0    0 : slabdata      0      0      0
ext4_allocation_context      0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_pending_reservation      0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_extent_status      0      0     40  102    1 : tunables    0    0    0 : slabdata      0      0      0
mbcache                0      0     56   73    1 : tunables    0    0    0 : slabdata      0      0      0
fscrypt_info           0      0     64   64    1 : tunables    0    0    0 : slabdata      0      0      0
fscrypt_ctx            0      0     48   85    1 : tunables    0    0    0 : slabdata      0      0      0
userfaultfd_ctx_cache      0      0    192   42    2 : tunables    0    0    0 : slabdata      0      0      0
dnotify_struct      1024   1024     32  128    1 : tunables    0    0    0 : slabdata      8      8      0
pid_namespace         39     39    208   39    2 : tunables    0    0    0 : slabdata      1      1      0
posix_timers_cache    102    102    240   34    2 : tunables    0    0    0 : slabdata      3      3      0
ip4-frags             40     40    200   40    2 : tunables    0    0    0 : slabdata      1      1      0
xfrm_state           920    920    704   46    8 : tunables    0    0    0 : slabdata     20     20      0
PING                 384    384   1024   32    8 : tunables    0    0    0 : slabdata     12     12      0
RAW                  608    608   1024   32    8 : tunables    0    0    0 : slabdata     19     19      0
UDP                  560    560   1152   28    8 : tunables    0    0    0 : slabdata     20     20      0
tw_sock_TCP          918    918    240   34    2 : tunables    0    0    0 : slabdata     27     27      0
request_sock_TCP     390    390    304   26    2 : tunables    0    0    0 : slabdata     15     15      0
TCP                  336    392   2240   14    8 : tunables    0    0    0 : slabdata     28     28      0
hugetlbfs_inode_cache     52     52    624   26    4 : tunables    0    0    0 : slabdata      2      2      0
dquot                  0      0    256   32    2 : tunables    0    0    0 : slabdata      0      0      0
eventpoll_pwq       4256   4256     72   56    1 : tunables    0    0    0 : slabdata     76     76      0
dax_cache            168    168    768   42    8 : tunables    0    0    0 : slabdata      4      4      0
request_queue        105    105   2104   15    8 : tunables    0    0    0 : slabdata      7      7      0
biovec-max           288    304   4096    8    8 : tunables    0    0    0 : slabdata     38     38      0
biovec-128           512    528   2048   16    8 : tunables    0    0    0 : slabdata     33     33      0
biovec-64           1792   1792   1024   32    8 : tunables    0    0    0 : slabdata     56     56      0
user_namespace        60     60    536   30    4 : tunables    0    0    0 : slabdata      2      2      0
dmaengine-unmap-256     15     15   2112   15    8 : tunables    0    0    0 : slabdata      1      1      0
dmaengine-unmap-128     30     30   1088   30    8 : tunables    0    0    0 : slabdata      1      1      0
dmaengine-unmap-16  47754  47754    192   42    2 : tunables    0    0    0 : slabdata   1137   1137      0
sock_inode_cache    4407   4407    832   39    8 : tunables    0    0    0 : slabdata    113    113      0
skbuff_ext_cache   22281  23680    128   32    1 : tunables    0    0    0 : slabdata    740    740      0
skbuff_fclone_cache   1354   1504    512   32    4 : tunables    0    0    0 : slabdata     47     47      0
skbuff_head_cache   4224   4224    256   32    2 : tunables    0    0    0 : slabdata    132    132      0
file_lock_cache      740    740    216   37    2 : tunables    0    0    0 : slabdata     20     20      0
file_lock_ctx       1460   1460     56   73    1 : tunables    0    0    0 : slabdata     20     20      0
fsnotify_mark_connector  16000  16000     32  128    1 : tunables    0    0    0 : slabdata    125    125      0
net_namespace         30     30   4736    6    8 : tunables    0    0    0 : slabdata      5      5      0
task_delay_info    11118  11118     80   51    1 : tunables    0    0    0 : slabdata    218    218      0
taskstats            940    940    344   47    4 : tunables    0    0    0 : slabdata     20     20      0
proc_dir_entry      1890   1890    192   42    2 : tunables    0    0    0 : slabdata     45     45      0
pde_opener          2040   2040     40  102    1 : tunables    0    0    0 : slabdata     20     20      0
proc_inode_cache    8108   9120    672   24    4 : tunables    0    0    0 : slabdata    380    380      0
bdev_cache           429    429    832   39    8 : tunables    0    0    0 : slabdata     11     11      0
shmem_inode_cache   8334   8878    712   46    8 : tunables    0    0    0 : slabdata    193    193      0
kernfs_node_cache  63450  63450    136   30    1 : tunables    0    0    0 : slabdata   2115   2115      0
mnt_cache           1334   1350    320   25    2 : tunables    0    0    0 : slabdata     54     54      0
filp               11193  13152    256   32    2 : tunables    0    0    0 : slabdata    411    411      0
inode_cache        36778  38259    600   27    4 : tunables    0    0    0 : slabdata   1417   1417      0
dentry            375802 378924    192   42    2 : tunables    0    0    0 : slabdata   9022   9022      0
names_cache          176    176   4096    8    8 : tunables    0    0    0 : slabdata     22     22      0
iint_cache             0      0    120   34    1 : tunables    0    0    0 : slabdata      0      0      0
lsm_file_cache     18870  18870     24  170    1 : tunables    0    0    0 : slabdata    111    111      0
buffer_head         1841   1911    104   39    1 : tunables    0    0    0 : slabdata     49     49      0
uts_namespace          0      0    440   37    4 : tunables    0    0    0 : slabdata      0      0      0
vm_area_struct     32212  32448    208   39    2 : tunables    0    0    0 : slabdata    832    832      0
mm_struct            756    756   1152   28    8 : tunables    0    0    0 : slabdata     27     27      0
files_cache          966    966    704   46    8 : tunables    0    0    0 : slabdata     21     21      0
signal_cache        2280   2280   1088   30    8 : tunables    0    0    0 : slabdata     76     76      0
sighand_cache       1349   1365   2112   15    8 : tunables    0    0    0 : slabdata     91     91      0
task_struct          780    804   9600    3    8 : tunables    0    0    0 : slabdata    268    268      0
cred_jar            9240   9240    192   42    2 : tunables    0    0    0 : slabdata    220    220      0
anon_vma_chain     25596  26816     64   64    1 : tunables    0    0    0 : slabdata    419    419      0
anon_vma           15790  16836     88   46    1 : tunables    0    0    0 : slabdata    366    366      0
pid                 6880   6880    128   32    1 : tunables    0    0    0 : slabdata    215    215      0
Acpi-Operand       52472  52472     72   56    1 : tunables    0    0    0 : slabdata    937    937      0
Acpi-ParseExt       3635   3822    104   39    1 : tunables    0    0    0 : slabdata     98     98      0
Acpi-State        305745 305745     80   51    1 : tunables    0    0    0 : slabdata   5995   5995      0
Acpi-Namespace     10710  10710     40  102    1 : tunables    0    0    0 : slabdata    105    105      0
numa_policy           30     30    136   30    1 : tunables    0    0    0 : slabdata      1      1      0
trace_event_file    3588   3588     88   46    1 : tunables    0    0    0 : slabdata     78     78      0
ftrace_event_field   7055   7055     48   85    1 : tunables    0    0    0 : slabdata     83     83      0
pool_workqueue      1193   1216    256   32    2 : tunables    0    0    0 : slabdata     38     38      0
radix_tree_node   513145 513492    584   28    4 : tunables    0    0    0 : slabdata  18339  18339      0
task_group           500    500    640   25    4 : tunables    0    0    0 : slabdata     20     20      0
vmap_area           9660  11136     64   64    1 : tunables    0    0    0 : slabdata    174    174      0
dma-kmalloc-8k         0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-4k         0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-2k         0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-1k         0      0   1024   32    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-512       32     32    512   32    4 : tunables    0    0    0 : slabdata      1      1      0
dma-kmalloc-256        0      0    256   32    2 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-128        0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-64         0      0     64   64    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-32         0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-16         0      0     16  256    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-8          0      0      8  512    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-192        0      0    192   42    2 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-96         0      0     96   42    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-8k         0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-4k         0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-2k         0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-1k         0      0   1024   32    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-512      128    128    512   32    4 : tunables    0    0    0 : slabdata      4      4      0
kmalloc-rcl-256      640    640    256   32    2 : tunables    0    0    0 : slabdata     20     20      0
kmalloc-rcl-192     1638   1638    192   42    2 : tunables    0    0    0 : slabdata     39     39      0
kmalloc-rcl-128     3872   3872    128   32    1 : tunables    0    0    0 : slabdata    121    121      0
kmalloc-rcl-96     13650  13650     96   42    1 : tunables    0    0    0 : slabdata    325    325      0
kmalloc-rcl-64     24832  24832     64   64    1 : tunables    0    0    0 : slabdata    388    388      0
kmalloc-rcl-32         0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-16         0      0     16  256    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-8          0      0      8  512    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-8k           372    372   8192    4    8 : tunables    0    0    0 : slabdata     93     93      0
kmalloc-4k          1468   1480   4096    8    8 : tunables    0    0    0 : slabdata    185    185      0
kmalloc-2k          2068   2224   2048   16    8 : tunables    0    0    0 : slabdata    139    139      0
kmalloc-1k         21483  21728   1024   32    8 : tunables    0    0    0 : slabdata    679    679      0
kmalloc-512         8725  15456    512   32    4 : tunables    0    0    0 : slabdata    483    483      0
kmalloc-256         5312   5312    256   32    2 : tunables    0    0    0 : slabdata    166    166      0
kmalloc-192        10983  11550    192   42    2 : tunables    0    0    0 : slabdata    275    275      0
kmalloc-128        26143  27520    128   32    1 : tunables    0    0    0 : slabdata    860    860      0
kmalloc-96         16063  16254     96   42    1 : tunables    0    0    0 : slabdata    387    387      0
kmalloc-64         36324  48640     64   64    1 : tunables    0    0    0 : slabdata    760    760      0
kmalloc-32         31162  40576     32  128    1 : tunables    0    0    0 : slabdata    317    317      0
kmalloc-16         90880  90880     16  256    1 : tunables    0    0    0 : slabdata    355    355      0
kmalloc-8          62464  62464      8  512    1 : tunables    0    0    0 : slabdata    122    122      0
kmem_cache_node      768    768     64   64    1 : tunables    0    0    0 : slabdata     12     12      0
kmem_cache           504    504    448   36    4 : tunables    0    0    0 : slabdata     14     14      0
zzz ***Sun Mar 7 06:49:36 EST 2021
slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
fuse_inode           351    351    832   39    8 : tunables    0    0    0 : slabdata      9      9      0
isofs_inode_cache   3592   3825    648   25    4 : tunables    0    0    0 : slabdata    153    153      0
nfs4_layout_stateid      0      0    280   29    2 : tunables    0    0    0 : slabdata      0      0      0
nfsd4_stateids         0      0    168   24    1 : tunables    0    0    0 : slabdata      0      0      0
nfsd4_files            0      0    288   28    2 : tunables    0    0    0 : slabdata      0      0      0
nfsd4_lockowners     779    779    392   41    4 : tunables    0    0    0 : slabdata     19     19      0
nfsd4_openowners       0      0    432   37    4 : tunables    0    0    0 : slabdata      0      0      0
nfsd4_clients          0      0   1296   25    8 : tunables    0    0    0 : slabdata      0      0      0
nfs_direct_cache       0      0    360   45    4 : tunables    0    0    0 : slabdata      0      0      0
nfs_read_data       4464   4644    896   36    8 : tunables    0    0    0 : slabdata    129    129      0
nfs_inode_cache     5988   6210   1080   30    8 : tunables    0    0    0 : slabdata    207    207      0
rpc_inode_cache      275    275    640   25    4 : tunables    0    0    0 : slabdata     11     11      0
xfs_dqtrx              0      0    528   31    4 : tunables    0    0    0 : slabdata      0      0      0
xfs_dquot              0      0    496   33    4 : tunables    0    0    0 : slabdata      0      0      0
xfs_buf             6258   6258    384   42    4 : tunables    0    0    0 : slabdata    149    149      0
xfs_rui_item           0      0    696   47    8 : tunables    0    0    0 : slabdata      0      0      0
xfs_rud_item          92     92    176   46    2 : tunables    0    0    0 : slabdata      2      2      0
xfs_inode          58071  58080   1024   32    8 : tunables    0    0    0 : slabdata   1815   1815      0
xfs_efd_item        1147   1147    440   37    4 : tunables    0    0    0 : slabdata     31     31      0
xfs_buf_item        1140   1230    272   30    2 : tunables    0    0    0 : slabdata     41     41      0
xfs_trans            700    700    232   35    2 : tunables    0    0    0 : slabdata     20     20      0
xfs_da_state         578    578    480   34    4 : tunables    0    0    0 : slabdata     17     17      0
xfs_btree_cur        720    720    224   36    2 : tunables    0    0    0 : slabdata     20     20      0
kvm_vcpu               0      0  16256    2    8 : tunables    0    0    0 : slabdata      0      0      0
kvm_mmu_page_header      0      0    176   46    2 : tunables    0    0    0 : slabdata      0      0      0
x86_fpu                0      0   4160    7    8 : tunables    0    0    0 : slabdata      0      0      0
fat_inode_cache       88     88    736   44    8 : tunables    0    0    0 : slabdata      2      2      0
fat_cache              0      0     40  102    1 : tunables    0    0    0 : slabdata      0      0      0
btrfs_delayed_node 113759 114816    312   26    2 : tunables    0    0    0 : slabdata   4416   4416      0
btrfs_ordered_extent   5738   5738    424   38    4 : tunables    0    0    0 : slabdata    151    151      0
btrfs_extent_map  109630 111888    144   28    1 : tunables    0    0    0 : slabdata   3996   3996      0
btrfs_extent_buffer  43653  84320    264   31    2 : tunables    0    0    0 : slabdata   2720   2720      0
btrfs_free_space_bitmap     48     48  12288    2    8 : tunables    0    0    0 : slabdata     24     24      0
btrfs_path          2664   2736    112   36    1 : tunables    0    0    0 : slabdata     76     76      0
btrfs_inode       184329 184329   1184   27    8 : tunables    0    0    0 : slabdata   6827   6827      0
kcopyd_job             0      0   3312    9    8 : tunables    0    0    0 : slabdata      0      0      0
dm_uevent              0      0   2632   12    8 : tunables    0    0    0 : slabdata      0      0      0
ip6-frags           1320   1320    184   44    2 : tunables    0    0    0 : slabdata     30     30      0
PINGv6               312    312   1216   26    8 : tunables    0    0    0 : slabdata     12     12      0
RAWv6                390    390   1216   26    8 : tunables    0    0    0 : slabdata     15     15      0
UDPv6                480    480   1344   24    8 : tunables    0    0    0 : slabdata     20     20      0
tw_sock_TCPv6         34     34    240   34    2 : tunables    0    0    0 : slabdata      1      1      0
request_sock_TCPv6      0      0    304   26    2 : tunables    0    0    0 : slabdata      0      0      0
TCPv6                260    260   2368   13    8 : tunables    0    0    0 : slabdata     20     20      0
scsi_sense_cache     992    992    128   32    1 : tunables    0    0    0 : slabdata     31     31      0
bfq_io_cq            500    500    160   25    1 : tunables    0    0    0 : slabdata     20     20      0
mqueue_inode_cache     34     34    960   34    8 : tunables    0    0    0 : slabdata      1      1      0
jbd2_journal_head      0      0    120   34    1 : tunables    0    0    0 : slabdata      0      0      0
jbd2_revoke_table_s      0      0     16  256    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_inode_cache       0      0   1088   30    8 : tunables    0    0    0 : slabdata      0      0      0
ext4_allocation_context      0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_pending_reservation      0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
ext4_extent_status      0      0     40  102    1 : tunables    0    0    0 : slabdata      0      0      0
mbcache                0      0     56   73    1 : tunables    0    0    0 : slabdata      0      0      0
fscrypt_info           0      0     64   64    1 : tunables    0    0    0 : slabdata      0      0      0
fscrypt_ctx            0      0     48   85    1 : tunables    0    0    0 : slabdata      0      0      0
userfaultfd_ctx_cache      0      0    192   42    2 : tunables    0    0    0 : slabdata      0      0      0
dnotify_struct      1024   1024     32  128    1 : tunables    0    0    0 : slabdata      8      8      0
pid_namespace         39     39    208   39    2 : tunables    0    0    0 : slabdata      1      1      0
posix_timers_cache    102    102    240   34    2 : tunables    0    0    0 : slabdata      3      3      0
ip4-frags             40     40    200   40    2 : tunables    0    0    0 : slabdata      1      1      0
xfrm_state           920    920    704   46    8 : tunables    0    0    0 : slabdata     20     20      0
PING                 384    384   1024   32    8 : tunables    0    0    0 : slabdata     12     12      0
